;;;;;;;;;;;;;;;;;;;;;
BHA;Bohemia-Austria;x
BHA_monarchy;Bohemia-Austria;x
BHA_republic;Danube Republic;x
BHA_communist;Danube Commune;x
BHA_fascist;Bohemian-Austrian Dictatorship;x
BHA_ADJ;Bohemia-Austrian;x
OTO;Ottokaria;x
OTO_monarchy;Ottokaria;x
OTO_republic;Republic of Ottokar;x
OTO_communist;People's Republic of Ottokar;x
OTO_fascist;Falangist Ottokaria;x
OTO_ADJ;Ottokarian;x
PLC;Jagellonia;;;;;;;;;;;;;
PLC_ADJ;Jagiellonian;;;;;;;;;;;;;
PLC_monarchy;Jagellonian Empire;;;;;;;;;;;;;
PLC_proletarian_dictatorship;Greater Polish Republic;;;;;;;;;;;;;
PLC_fascist_dictatorship;Greater Poland;;;;;;;;;;;;;
PLC_presidential_dictatorship;Jagellonia;;;;;;;;;;;;;
PLC_democracy;Jagellonia;;;;;;;;;;;;;
RMR_democracy;Res Publica Romana;;;;;;;;;;;;;
RMR_absolute_monarchy;Imperivm Romanvm;;;;;;;;;;;;;
RMR_prussian_constitutionalism;Imperivm Romanvm;;;;;;;;;;;;;
RMR_hms_government;Imperivm Romanvm;;;;;;;;;;;;;
RMR_bourgeois_dictatorship;Dictatura Romana;;;;;;;;;;;;;
RMR_bourgeois_dictatorship_ADJ;Roman;;;;;;;;;;;;;
RMR_proletarian_dictatorship;Populares Dictatura Romana;;;;;;;;;;;;;
RMR_proletarian_dictatorship_ADJ;Roman;;;;;;;;;;;;;
RMR;Rome;;;;;;;;;;;;;
RMR_ADJ;Roman;;;;;;;;;;;;;
RMR_communist;Partito Comunista de Roma;;;;;;;;;;;;;
RMR_fascist;Partito Nazionale Fascista;;;;;;;;;;;;;
LBR;Lower Burgundy;;;;;;;;;;;;
LBR_ADJ;Lower Burgundian;;;;;;;;;;;;
LBR_democracy;Republic of Low Burgundy;;;;;;;;;;;;
LBR_monarchy;Kingdom of Lower Burgundy;;;;;;;;;;;;
