GC_NAME;Schizo Campaign;x;;;;;;;;;;;;
GC_DESC;You forgot your pills again! You just woke up in a strange world where Hyperborean Byzantium is real and the Mongol empire did a large amount of trolling, Poland is very epic and the Italians colonized the Americas.;x;;;;;;;;;;;;
post_napoleonic_thought;Post-Revolutionary Thought;x;;;;;;;;;;;;
post_napoleonic_army_doctrine;Post-Revolutionary Army Doctrine;x;;;;;;;;;;;;
mongolian_dependency;Mongolian Tribute State;x;;;;;;;;;;;;
mongolian_dependency_ruler;Prince;x;;;;;;;;;;;;
mongolian_tech_school;Jochid School of Thought;x;;;;;;;;;;;;
no_personality;No bonus;;;;;;;;;;;;;
active_p;No bonus;;;;;;;;;;;;;
au_fait;§G+3 Attack;;;;;;;;;;;;;
audacious;§G+2 Attack;;;;;;;;;;;;;
able;No bonus;;;;;;;;;;;;;
aweless;No bonus;;;;;;;;;;;;;
aggressive;§G+1 Attack;;;;;;;;;;;;;
arrogant;No bonus;;;;;;;;;;;;;
balanced_p;§G+1 Defense;;;;;;;;;;;;;
bigoted;No bonus;;;;;;;;;;;;;
brilliant;No bonus;;;;;;;;;;;;;
brutish;§G+1 Attack;;;;;;;;;;;;;
bold;§G+1 Attack;;;;;;;;;;;;;
brash;§G+ Attack;;;;;;;;;;;;;
ballsy;No bonus;;;;;;;;;;;;;
bastard;§R-1 Defense;;;;;;;;;;;;;
cautious;§G+3 Defense;;;;;;;;;;;;;
coward;No bonus;;;;;;;;;;;;;
chickenhearted;§R-2 Attack;;;;;;;;;;;;;
craven;§R-2 Attack;;;;;;;;;;;;;
competent;No bonus;;;;;;;;;;;;;
clever;No bonus;;;;;;;;;;;;;
careless;No bonus;;;;;;;;;;;;;
calm;§R-1 Attack;;;;;;;;;;;;;
coolminded;§G+2 Defense;;;;;;;;;;;;;
careful;No bonus;;;;;;;;;;;;;
choleric;§G+1 Attack;;;;;;;;;;;;;
charismatic;No bonus;;;;;;;;;;;;;
chivalrous;§G+2 Attack;;;;;;;;;;;;;
confident;No bonus;;;;;;;;;;;;;
doughty;No bonus;;;;;;;;;;;;;
defiant;§G+3 Defense;;;;;;;;;;;;;
disciplined;§G+2 Attack;;;;;;;;;;;;;
dauntless;No bonus;;;;;;;;;;;;;
daring;§G+3 Attack;;;;;;;;;;;;;
disorderly;No bonus;;;;;;;;;;;;;
decisive;No bonus;;;;;;;;;;;;;
dumb;No bonus;;;;;;;;;;;;;
diplomatic;No bonus;;;;;;;;;;;;;
deeply_religious;§R-1 Attack §R-1 Defense;;;;;;;;;;;;;
expert;No bonus;;;;;;;;;;;;;
efficient;§G+2 Attack;;;;;;;;;;;;;
earnest;No bonus;;;;;;;;;;;;;
fanatic;No bonus;;;;;;;;;;;;;
gallant;No bonus;;;;;;;;;;;;;
glory_hound;No bonus;;;;;;;;;;;;;
gutsy;§G+1 Defense;;;;;;;;;;;;;
harsh;§G+1 Attack §G+1 Defense;;;;;;;;;;;;;
hellbent;No bonus;;;;;;;;;;;;;
heroic;No bonus;;;;;;;;;;;;;
inspiring;No bonus;;;;;;;;;;;;;
impetuous;§R-2 Defense;;;;;;;;;;;;;
implacable;§G+2 Attack;;;;;;;;;;;;;
imperious;§G+1 Attack §R-2 Defense;;;;;;;;;;;;;
irate;§G+1 Attack;;;;;;;;;;;;;
intuitive;No bonus;;;;;;;;;;;;;
impulsive;No bonus;;;;;;;;;;;;;
incapable;No bonus;;;;;;;;;;;;;
indifferent;No bonus;;;;;;;;;;;;;
intelligent;No bonus;;;;;;;;;;;;;
inept;§R-1 Attack;;;;;;;;;;;;;
inefficient;§R-2 Attack;;;;;;;;;;;;;
keen;No bonus;;;;;;;;;;;;;
lilylivered;§R-2 Attack;;;;;;;;;;;;;
lackluster;No bonus;;;;;;;;;;;;;
merciless;§G+2 Attack §G+2 Defense;;;;;;;;;;;;;
meticulous;No bonus;;;;;;;;;;;;;
manful;No bonus;;;;;;;;;;;;;
madman;No bonus;;;;;;;;;;;;;
mediocre;No bonus;;;;;;;;;;;;;
maladroit;No bonus;;;;;;;;;;;;;
openminded;No bonus;;;;;;;;;;;;;
persistant;No bonus;;;;;;;;;;;;;
polite;No bonus;;;;;;;;;;;;;
pusillanimous;No bonus;;;;;;;;;;;;;
pisspoor;§R-2 Attack;;;;;;;;;;;;;
perverse;No bonus;;;;;;;;;;;;;
resourceful;§G+1 Defense;;;;;;;;;;;;;
respectful;No bonus;;;;;;;;;;;;;
romantic;No bonus;;;;;;;;;;;;;
relentless;§G+2 Attack;;;;;;;;;;;;;
reserved;§R-1 Attack;;;;;;;;;;;;;
resolute;§G+2 Defense;;;;;;;;;;;;;
skilled;§G+1 Attack;;;;;;;;;;;;;
shrinking_violet;No bonus;;;;;;;;;;;;;
strange;No bonus;;;;;;;;;;;;;
stout;§G+1 Defense;;;;;;;;;;;;;
soldierly;§G+1 Attack;;;;;;;;;;;;;
spirited;§G+2 Defense;;;;;;;;;;;;;
stalwart;§G+1 Defense;;;;;;;;;;;;;
soft;§R-2 Attack;;;;;;;;;;;;;
spineless;§R-2 Attack;;;;;;;;;;;;;
stouthearted;§G+1 Attack;;;;;;;;;;;;;
steadfast;§G+2 Attack;;;;;;;;;;;;;
scared;§R-1 Defense;;;;;;;;;;;;;
shirker;§R-1 Defense;;;;;;;;;;;;;
smart_p;No bonus;;;;;;;;;;;;;
sharp;No bonus;;;;;;;;;;;;;
timid;§R-1 Attack;;;;;;;;;;;;;
tactful;No bonus;;;;;;;;;;;;;
unflinching;§G+3 Attack;;;;;;;;;;;;;
unruly;No bonus;;;;;;;;;;;;;
undisciplined;No bonus;;;;;;;;;;;;;
unforgiving;No bonus;;;;;;;;;;;;;
unmanly;§R-3 Attack;;;;;;;;;;;;;
unsound;No bonus;;;;;;;;;;;;;
